Customer,Arrival_Time,Start_Service_Time,End_Service_Time,,,,,
127,10:19:49,10:21:04,10:21:37,,,,,
128,10:24:54,10:24:58,10:26:00,,,,,
129,10:27:00,10:27:10,10:27:50,,,,,
130,10:27:46,10:28:04,10:28:20,,,,,
131,10:27:49,10:28:25,10:28:52,,,,,
132,10:27:51,10:28:55,10:29:12,,,,,
133,10:29:17,10:29:31,10:29:54,,,,,
134,10:30:40,10:30:43,10:30:57,,,,,
135,10:31:23,10:31:38,10:31:51,,,,,
136,10:31:30,10:32:09,10:32:36,,,,,
137,10:32:49,10:32:58,10:33:06,,,,,
138,10:33:33,10:33:46,10:34:07,,,,,
139,10:33:40,10:34:52,10:34:57,,,,,
140,10:33:41,10:35:02,10:35:09,,,,,
141,10:34:23,10:35:13,10:35:36,,,,,
142,10:34:56,10:35:45,10:36:03,,,,,
143,10:35:00,10:36:06,10:36:32,,,,,
144,10:35:15,10:36:47,10:36:55,,,,,
145,10:35:26,10:36:58,10:37:10,,,,,
146,10:36:05,10:37:17,10:37:38,,,,,
147,10:36:15,10:37:45,10:37:50,,,,,
148,10:36:29,10:37:54,10:38:05,,,,,
149,10:36:50,10:38:10,10:38:45,,,,,
150,10:36:59,10:39:00,10:39:24,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
